frame.time_epoch,eth.src,eth.dst,goose.gocbRef,goose.stNum,goose.sqNum,frame.len
1772896213.908196000,08:00:27:d1:c5:85,08:00:27:b0:8c:2e,,,,84
1772896213.908196000,08:00:27:d1:c5:85,08:00:27:b0:8c:2e,,,,84
1772896213.908469000,08:00:27:b0:8c:2e,08:00:27:d1:c5:85,,,,66
1772896213.908469000,08:00:27:b0:8c:2e,08:00:27:d1:c5:85,,,,66
1772896214.921930000,08:00:27:d1:c5:85,08:00:27:b0:8c:2e,,,,84
1772896214.921930000,08:00:27:d1:c5:85,08:00:27:b0:8c:2e,,,,84
1772896214.921991000,08:00:27:b0:8c:2e,08:00:27:d1:c5:85,,,,66
1772896214.921991000,08:00:27:b0:8c:2e,08:00:27:d1:c5:85,,,,66
1772896215.828700000,08:00:27:d1:c5:85,08:00:27:b0:8c:2e,,,,84
1772896215.828700000,08:00:27:d1:c5:85,08:00:27:b0:8c:2e,,,,84
1772896215.828764000,08:00:27:b0:8c:2e,08:00:27:d1:c5:85,,,,66
1772896215.828764000,08:00:27:b0:8c:2e,08:00:27:d1:c5:85,,,,66
1772896216.840687000,08:00:27:d1:c5:85,08:00:27:b0:8c:2e,,,,84
1772896216.840687000,08:00:27:d1:c5:85,08:00:27:b0:8c:2e,,,,84
1772896216.840882000,08:00:27:b0:8c:2e,08:00:27:d1:c5:85,,,,66
1772896216.840882000,08:00:27:b0:8c:2e,08:00:27:d1:c5:85,,,,66
1772896217.851500000,08:00:27:d1:c5:85,08:00:27:b0:8c:2e,,,,84
1772896217.851500000,08:00:27:d1:c5:85,08:00:27:b0:8c:2e,,,,84
1772896217.851772000,08:00:27:b0:8c:2e,08:00:27:d1:c5:85,,,,66
1772896217.851772000,08:00:27:b0:8c:2e,08:00:27:d1:c5:85,,,,66
1772896218.864515000,08:00:27:d1:c5:85,08:00:27:b0:8c:2e,,,,84
1772896218.864515000,08:00:27:d1:c5:85,08:00:27:b0:8c:2e,,,,84
1772896218.864542000,08:00:27:b0:8c:2e,08:00:27:d1:c5:85,,,,66
1772896218.864542000,08:00:27:b0:8c:2e,08:00:27:d1:c5:85,,,,66
1772896218.865345000,08:00:27:b0:8c:2e,08:00:27:d1:c5:85,,,,72
1772896218.865345000,08:00:27:b0:8c:2e,08:00:27:d1:c5:85,,,,72
1772896218.867174000,08:00:27:d1:c5:85,08:00:27:b0:8c:2e,,,,66
1772896218.867174000,08:00:27:d1:c5:85,08:00:27:b0:8c:2e,,,,66
1772896219.315584000,08:00:27:b0:8c:2e,08:00:27:d1:c5:85,,,,82
1772896219.315584000,08:00:27:b0:8c:2e,08:00:27:d1:c5:85,,,,82
1772896219.318562000,08:00:27:d1:c5:85,08:00:27:b0:8c:2e,,,,66
1772896219.318562000,08:00:27:d1:c5:85,08:00:27:b0:8c:2e,,,,66
1772896219.324183000,08:00:27:d1:c5:85,08:00:27:b0:8c:2e,,,,82
1772896219.324183000,08:00:27:d1:c5:85,08:00:27:b0:8c:2e,,,,82
1772896219.329261000,08:00:27:d1:c5:85,08:00:27:b0:8c:2e,,,,96
1772896219.329261000,08:00:27:d1:c5:85,08:00:27:b0:8c:2e,,,,96
1772896219.331493000,08:00:27:b0:8c:2e,08:00:27:d1:c5:85,,,,66
1772896219.331493000,08:00:27:b0:8c:2e,08:00:27:d1:c5:85,,,,66
1772896219.339276000,08:00:27:d1:c5:85,08:00:27:b0:8c:2e,,,,86
1772896219.339276000,08:00:27:d1:c5:85,08:00:27:b0:8c:2e,,,,86
1772896219.342555000,08:00:27:d1:c5:85,08:00:27:b0:8c:2e,,,,89
1772896219.342555000,08:00:27:d1:c5:85,08:00:27:b0:8c:2e,,,,89
1772896219.343457000,08:00:27:b0:8c:2e,08:00:27:d1:c5:85,,,,66
1772896219.343457000,08:00:27:b0:8c:2e,08:00:27:d1:c5:85,,,,66
1772896219.348383000,08:00:27:d1:c5:85,08:00:27:b0:8c:2e,,,,86
1772896219.348383000,08:00:27:d1:c5:85,08:00:27:b0:8c:2e,,,,86
1772896219.350887000,08:00:27:d1:c5:85,08:00:27:b0:8c:2e,,,,82
1772896219.350887000,08:00:27:d1:c5:85,08:00:27:b0:8c:2e,,,,82
1772896219.351600000,08:00:27:b0:8c:2e,08:00:27:d1:c5:85,,,,66
1772896219.351600000,08:00:27:b0:8c:2e,08:00:27:d1:c5:85,,,,66
1772896219.986323000,08:00:27:d1:c5:85,08:00:27:b0:8c:2e,,,,84
1772896219.986323000,08:00:27:d1:c5:85,08:00:27:b0:8c:2e,,,,84
1772896220.030795000,08:00:27:b0:8c:2e,08:00:27:d1:c5:85,,,,66
1772896220.030795000,08:00:27:b0:8c:2e,08:00:27:d1:c5:85,,,,66
1772896220.996206000,08:00:27:d1:c5:85,08:00:27:b0:8c:2e,,,,84
1772896220.996206000,08:00:27:d1:c5:85,08:00:27:b0:8c:2e,,,,84
1772896220.996224000,08:00:27:b0:8c:2e,08:00:27:d1:c5:85,,,,66
1772896220.996224000,08:00:27:b0:8c:2e,08:00:27:d1:c5:85,,,,66
1772896220.996770000,08:00:27:b0:8c:2e,08:00:27:d1:c5:85,,,,72
1772896220.996770000,08:00:27:b0:8c:2e,08:00:27:d1:c5:85,,,,72
1772896221.040099000,08:00:27:d1:c5:85,08:00:27:b0:8c:2e,,,,66
1772896221.040099000,08:00:27:d1:c5:85,08:00:27:b0:8c:2e,,,,66
1772896222.007647000,08:00:27:d1:c5:85,08:00:27:b0:8c:2e,,,,84
1772896222.007647000,08:00:27:d1:c5:85,08:00:27:b0:8c:2e,,,,84
1772896222.050510000,08:00:27:b0:8c:2e,08:00:27:d1:c5:85,,,,66
1772896222.050510000,08:00:27:b0:8c:2e,08:00:27:d1:c5:85,,,,66
1772896224.395927000,08:00:27:d1:c5:85,08:00:27:b0:8c:2e,,,,84
1772896224.395927000,08:00:27:d1:c5:85,08:00:27:b0:8c:2e,,,,84
1772896224.396004000,08:00:27:b0:8c:2e,08:00:27:d1:c5:85,,,,66
1772896224.396004000,08:00:27:b0:8c:2e,08:00:27:d1:c5:85,,,,66
1772896225.416139000,08:00:27:d1:c5:85,08:00:27:b0:8c:2e,,,,84
1772896225.416139000,08:00:27:d1:c5:85,08:00:27:b0:8c:2e,,,,84
1772896225.416180000,08:00:27:b0:8c:2e,08:00:27:d1:c5:85,,,,66
1772896225.416180000,08:00:27:b0:8c:2e,08:00:27:d1:c5:85,,,,66
1772896226.423548000,08:00:27:d1:c5:85,08:00:27:b0:8c:2e,,,,84
1772896226.423548000,08:00:27:d1:c5:85,08:00:27:b0:8c:2e,,,,84
1772896226.423608000,08:00:27:b0:8c:2e,08:00:27:d1:c5:85,,,,66
1772896226.423608000,08:00:27:b0:8c:2e,08:00:27:d1:c5:85,,,,66
1772896227.430995000,08:00:27:d1:c5:85,08:00:27:b0:8c:2e,,,,84
1772896227.430995000,08:00:27:d1:c5:85,08:00:27:b0:8c:2e,,,,84
1772896227.431134000,08:00:27:b0:8c:2e,08:00:27:d1:c5:85,,,,66
1772896227.431134000,08:00:27:b0:8c:2e,08:00:27:d1:c5:85,,,,66
1772896228.439953000,08:00:27:d1:c5:85,08:00:27:b0:8c:2e,,,,84
1772896228.439953000,08:00:27:d1:c5:85,08:00:27:b0:8c:2e,,,,84
1772896228.439992000,08:00:27:b0:8c:2e,08:00:27:d1:c5:85,,,,66
1772896228.439992000,08:00:27:b0:8c:2e,08:00:27:d1:c5:85,,,,66
1772896228.536268000,08:00:27:b0:8c:2e,01:0c:cd:01:00:01,simpleIOGenericIO/LLN0$GO$gcbAnalogValues,1,0,202
1772896228.536268000,08:00:27:b0:8c:2e,01:0c:cd:01:00:01,simpleIOGenericIO/LLN0$GO$gcbAnalogValues,1,0,202
1772896229.339231000,08:00:27:b0:8c:2e,08:00:27:d1:c5:85,,,,82
1772896229.339231000,08:00:27:b0:8c:2e,08:00:27:d1:c5:85,,,,82
1772896229.343773000,08:00:27:d1:c5:85,08:00:27:b0:8c:2e,,,,66
1772896229.343773000,08:00:27:d1:c5:85,08:00:27:b0:8c:2e,,,,66
1772896229.344821000,08:00:27:d1:c5:85,08:00:27:b0:8c:2e,,,,82
1772896229.344821000,08:00:27:d1:c5:85,08:00:27:b0:8c:2e,,,,82
1772896229.344864000,08:00:27:b0:8c:2e,08:00:27:d1:c5:85,,,,66
1772896229.344864000,08:00:27:b0:8c:2e,08:00:27:d1:c5:85,,,,66
1772896229.347724000,08:00:27:d1:c5:85,08:00:27:b0:8c:2e,,,,96
1772896229.347724000,08:00:27:d1:c5:85,08:00:27:b0:8c:2e,,,,96
1772896229.347725000,08:00:27:d1:c5:85,08:00:27:b0:8c:2e,,,,109
1772896229.347725000,08:00:27:d1:c5:85,08:00:27:b0:8c:2e,,,,109
1772896229.347762000,08:00:27:b0:8c:2e,08:00:27:d1:c5:85,,,,66
1772896229.347762000,08:00:27:b0:8c:2e,08:00:27:d1:c5:85,,,,66
1772896229.347973000,08:00:27:b0:8c:2e,08:00:27:d1:c5:85,,,,66
1772896229.347973000,08:00:27:b0:8c:2e,08:00:27:d1:c5:85,,,,66
1772896229.349224000,08:00:27:d1:c5:85,08:00:27:b0:8c:2e,,,,102
1772896229.349224000,08:00:27:d1:c5:85,08:00:27:b0:8c:2e,,,,102
1772896229.349237000,08:00:27:b0:8c:2e,08:00:27:d1:c5:85,,,,66
1772896229.349237000,08:00:27:b0:8c:2e,08:00:27:d1:c5:85,,,,66
1772896229.448526000,08:00:27:d1:c5:85,08:00:27:b0:8c:2e,,,,84
1772896229.448526000,08:00:27:d1:c5:85,08:00:27:b0:8c:2e,,,,84
1772896229.448587000,08:00:27:b0:8c:2e,08:00:27:d1:c5:85,,,,66
1772896229.448587000,08:00:27:b0:8c:2e,08:00:27:d1:c5:85,,,,66
1772896229.537998000,08:00:27:b0:8c:2e,01:0c:cd:01:00:01,simpleIOGenericIO/LLN0$GO$gcbAnalogValues,1,1,202
1772896229.537998000,08:00:27:b0:8c:2e,01:0c:cd:01:00:01,simpleIOGenericIO/LLN0$GO$gcbAnalogValues,1,1,202
1772896230.353062000,08:00:27:d1:c5:85,08:00:27:b0:8c:2e,,,,84
1772896230.353062000,08:00:27:d1:c5:85,08:00:27:b0:8c:2e,,,,84
1772896230.353125000,08:00:27:b0:8c:2e,08:00:27:d1:c5:85,,,,66
1772896230.353125000,08:00:27:b0:8c:2e,08:00:27:d1:c5:85,,,,66
1772896230.353369000,08:00:27:b0:8c:2e,08:00:27:d1:c5:85,,,,72
1772896230.353369000,08:00:27:b0:8c:2e,08:00:27:d1:c5:85,,,,72
1772896230.396502000,08:00:27:d1:c5:85,08:00:27:b0:8c:2e,,,,66
1772896230.396502000,08:00:27:d1:c5:85,08:00:27:b0:8c:2e,,,,66
1772896230.539741000,08:00:27:b0:8c:2e,01:0c:cd:01:00:01,simpleIOGenericIO/LLN0$GO$gcbAnalogValues,1,2,202
1772896230.539741000,08:00:27:b0:8c:2e,01:0c:cd:01:00:01,simpleIOGenericIO/LLN0$GO$gcbAnalogValues,1,2,202
1772896231.360494000,08:00:27:d1:c5:85,08:00:27:b0:8c:2e,,,,84
1772896231.360494000,08:00:27:d1:c5:85,08:00:27:b0:8c:2e,,,,84
1772896231.401695000,08:00:27:b0:8c:2e,08:00:27:d1:c5:85,,,,66
1772896231.401695000,08:00:27:b0:8c:2e,08:00:27:d1:c5:85,,,,66
1772896231.541833000,08:00:27:b0:8c:2e,01:0c:cd:01:00:01,simpleIOGenericIO/LLN0$GO$gcbAnalogValues,1,3,205
1772896231.541833000,08:00:27:b0:8c:2e,01:0c:cd:01:00:01,simpleIOGenericIO/LLN0$GO$gcbAnalogValues,1,3,205
1772896232.367848000,08:00:27:d1:c5:85,08:00:27:b0:8c:2e,,,,84
1772896232.367848000,08:00:27:d1:c5:85,08:00:27:b0:8c:2e,,,,84
1772896232.367885000,08:00:27:b0:8c:2e,08:00:27:d1:c5:85,,,,66
1772896232.367885000,08:00:27:b0:8c:2e,08:00:27:d1:c5:85,,,,66
1772896233.379222000,08:00:27:d1:c5:85,08:00:27:b0:8c:2e,,,,84
1772896233.379222000,08:00:27:d1:c5:85,08:00:27:b0:8c:2e,,,,84
