frame.number,frame.time_epoch,eth.src,eth.dst,goose.gocbRef,goose.stNum,goose.sqNum
"1","1775746465.705948000","08:00:27:d1:c5:85","08:00:27:b0:8c:2e",,,
"2","1775746465.709283000","08:00:27:b0:8c:2e","08:00:27:d1:c5:85",,,
"3","1775746465.964074000","08:00:27:b0:8c:2e","08:00:27:d1:c5:85",,,
"4","1775746465.964093000","08:00:27:d1:c5:85","08:00:27:b0:8c:2e",,,
"5","1775746466.715599000","08:00:27:d1:c5:85","08:00:27:b0:8c:2e",,,
"6","1775746466.716374000","08:00:27:b0:8c:2e","08:00:27:d1:c5:85",,,
"7","1775746466.965669000","08:00:27:b0:8c:2e","08:00:27:d1:c5:85",,,
"8","1775746466.965684000","08:00:27:d1:c5:85","08:00:27:b0:8c:2e",,,
"9","1775746467.723225000","08:00:27:d1:c5:85","08:00:27:b0:8c:2e",,,
"10","1775746467.723913000","08:00:27:b0:8c:2e","08:00:27:d1:c5:85",,,
"11","1775746467.995398000","08:00:27:b0:8c:2e","08:00:27:d1:c5:85",,,
"12","1775746467.995413000","08:00:27:d1:c5:85","08:00:27:b0:8c:2e",,,
"13","1775746468.731906000","08:00:27:d1:c5:85","08:00:27:b0:8c:2e",,,
"14","1775746468.732822000","08:00:27:b0:8c:2e","08:00:27:d1:c5:85",,,
"15","1775746469.019217000","08:00:27:b0:8c:2e","08:00:27:d1:c5:85",,,
"16","1775746469.019235000","08:00:27:d1:c5:85","08:00:27:b0:8c:2e",,,
"17","1775746469.740529000","08:00:27:d1:c5:85","08:00:27:b0:8c:2e",,,
"18","1775746469.742203000","08:00:27:b0:8c:2e","08:00:27:d1:c5:85",,,
"19","1775746470.020528000","08:00:27:b0:8c:2e","08:00:27:d1:c5:85",,,
"20","1775746470.020553000","08:00:27:d1:c5:85","08:00:27:b0:8c:2e",,,
"21","1775746470.746325000","08:00:27:d1:c5:85","08:00:27:b0:8c:2e",,,
"22","1775746470.748351000","08:00:27:b0:8c:2e","08:00:27:d1:c5:85",,,
"23","1775746470.749490000","08:00:27:b0:8c:2e","08:00:27:d1:c5:85",,,
"24","1775746470.749516000","08:00:27:d1:c5:85","08:00:27:b0:8c:2e",,,
"25","1775746471.023088000","08:00:27:b0:8c:2e","08:00:27:d1:c5:85",,,
"26","1775746471.023118000","08:00:27:d1:c5:85","08:00:27:b0:8c:2e",,,
"27","1775746471.236467000","08:00:27:b0:8c:2e","08:00:27:d1:c5:85",,,
"28","1775746471.236488000","08:00:27:d1:c5:85","08:00:27:b0:8c:2e",,,
"29","1775746471.237189000","08:00:27:d1:c5:85","08:00:27:b0:8c:2e",,,
"30","1775746471.237803000","08:00:27:d1:c5:85","08:00:27:b0:8c:2e",,,
"31","1775746471.238110000","08:00:27:d1:c5:85","08:00:27:b0:8c:2e",,,
"32","1775746471.238404000","08:00:27:d1:c5:85","08:00:27:b0:8c:2e",,,
"33","1775746471.238953000","08:00:27:d1:c5:85","08:00:27:b0:8c:2e",,,
"34","1775746471.239250000","08:00:27:d1:c5:85","08:00:27:b0:8c:2e",,,
"35","1775746471.240370000","08:00:27:b0:8c:2e","08:00:27:d1:c5:85",,,
"36","1775746471.745453000","08:00:27:d1:c5:85","08:00:27:b0:8c:2e",,,
"37","1775746471.793792000","08:00:27:b0:8c:2e","08:00:27:d1:c5:85",,,
"38","1775746472.024347000","08:00:27:b0:8c:2e","08:00:27:d1:c5:85",,,
"39","1775746472.024379000","08:00:27:d1:c5:85","08:00:27:b0:8c:2e",,,
"40","1775746472.756459000","08:00:27:d1:c5:85","08:00:27:b0:8c:2e",,,
"41","1775746472.758492000","08:00:27:b0:8c:2e","08:00:27:d1:c5:85",,,
"42","1775746472.760135000","08:00:27:b0:8c:2e","08:00:27:d1:c5:85",,,
"43","1775746472.801024000","08:00:27:d1:c5:85","08:00:27:b0:8c:2e",,,
"44","1775746473.025109000","08:00:27:b0:8c:2e","08:00:27:d1:c5:85",,,
"45","1775746473.025131000","08:00:27:d1:c5:85","08:00:27:b0:8c:2e",,,
"46","1775746473.768313000","08:00:27:d1:c5:85","08:00:27:b0:8c:2e",,,
"47","1775746473.813091000","08:00:27:b0:8c:2e","08:00:27:d1:c5:85",,,
"48","1775746474.027995000","08:00:27:b0:8c:2e","08:00:27:d1:c5:85",,,
"49","1775746474.028028000","08:00:27:d1:c5:85","08:00:27:b0:8c:2e",,,
"50","1775746474.776318000","08:00:27:d1:c5:85","08:00:27:b0:8c:2e",,,
"51","1775746474.778024000","08:00:27:b0:8c:2e","08:00:27:d1:c5:85",,,
"52","1775746475.028246000","08:00:27:b0:8c:2e","08:00:27:d1:c5:85",,,
"53","1775746475.028272000","08:00:27:d1:c5:85","08:00:27:b0:8c:2e",,,
"54","1775746475.688506000","08:00:27:d1:c5:85","08:00:27:b0:8c:2e",,,
"55","1775746475.689981000","08:00:27:b0:8c:2e","08:00:27:d1:c5:85",,,
"56","1775746476.029475000","08:00:27:b0:8c:2e","08:00:27:d1:c5:85",,,
"57","1775746476.029502000","08:00:27:d1:c5:85","08:00:27:b0:8c:2e",,,
"58","1775746476.701067000","08:00:27:d1:c5:85","08:00:27:b0:8c:2e",,,
"59","1775746476.703243000","08:00:27:b0:8c:2e","08:00:27:d1:c5:85",,,
"60","1775746477.034404000","08:00:27:b0:8c:2e","08:00:27:d1:c5:85",,,
"61","1775746477.034449000","08:00:27:d1:c5:85","08:00:27:b0:8c:2e",,,
"62","1775746477.758735000","08:00:27:d1:c5:85","08:00:27:b0:8c:2e",,,
"63","1775746477.761278000","08:00:27:b0:8c:2e","08:00:27:d1:c5:85",,,
"64","1775746478.034117000","08:00:27:b0:8c:2e","08:00:27:d1:c5:85",,,
"65","1775746478.034135000","08:00:27:d1:c5:85","08:00:27:b0:8c:2e",,,
"66","1775746478.755290000","08:00:27:d1:c5:85","08:00:27:b0:8c:2e",,,
"67","1775746478.759342000","08:00:27:b0:8c:2e","08:00:27:d1:c5:85",,,
"68","1775746479.037130000","08:00:27:b0:8c:2e","08:00:27:d1:c5:85",,,
"69","1775746479.037173000","08:00:27:d1:c5:85","08:00:27:b0:8c:2e",,,
"70","1775746479.772860000","08:00:27:d1:c5:85","08:00:27:b0:8c:2e",,,
"71","1775746479.774106000","08:00:27:b0:8c:2e","08:00:27:d1:c5:85",,,
"72","1775746480.038110000","08:00:27:b0:8c:2e","08:00:27:d1:c5:85",,,
"73","1775746480.038136000","08:00:27:d1:c5:85","08:00:27:b0:8c:2e",,,
"74","1775746480.781796000","08:00:27:d1:c5:85","08:00:27:b0:8c:2e",,,
"75","1775746480.785142000","08:00:27:b0:8c:2e","08:00:27:d1:c5:85",,,
"76","1775746480.787566000","08:00:27:b0:8c:2e","08:00:27:d1:c5:85",,,
"77","1775746480.788462000","08:00:27:d1:c5:85","08:00:27:b0:8c:2e",,,
"78","1775746481.042354000","08:00:27:b0:8c:2e","08:00:27:d1:c5:85",,,
"79","1775746481.042392000","08:00:27:d1:c5:85","08:00:27:b0:8c:2e",,,
"80","1775746481.241442000","08:00:27:b0:8c:2e","08:00:27:d1:c5:85",,,
"81","1775746481.241735000","08:00:27:d1:c5:85","08:00:27:b0:8c:2e",,,
"82","1775746481.242024000","08:00:27:d1:c5:85","08:00:27:b0:8c:2e",,,
"83","1775746481.242113000","08:00:27:d1:c5:85","08:00:27:b0:8c:2e",,,
"84","1775746481.243192000","08:00:27:d1:c5:85","08:00:27:b0:8c:2e",,,
"85","1775746481.244238000","08:00:27:b0:8c:2e","08:00:27:d1:c5:85",,,
"86","1775746481.853318000","08:00:27:d1:c5:85","08:00:27:b0:8c:2e",,,
"87","1775746481.902531000","08:00:27:b0:8c:2e","08:00:27:d1:c5:85",,,
"88","1775746482.042068000","08:00:27:b0:8c:2e","08:00:27:d1:c5:85",,,
"89","1775746482.042084000","08:00:27:d1:c5:85","08:00:27:b0:8c:2e",,,
"90","1775746482.764844000","08:00:27:d1:c5:85","08:00:27:b0:8c:2e",,,
"91","1775746482.767286000","08:00:27:b0:8c:2e","08:00:27:d1:c5:85",,,
"92","1775746482.770055000","08:00:27:b0:8c:2e","08:00:27:d1:c5:85",,,
"93","1775746482.810869000","08:00:27:d1:c5:85","08:00:27:b0:8c:2e",,,
"94","1775746483.045883000","08:00:27:b0:8c:2e","08:00:27:d1:c5:85",,,
"95","1775746483.045927000","08:00:27:d1:c5:85","08:00:27:b0:8c:2e",,,
"96","1775746483.824243000","08:00:27:d1:c5:85","08:00:27:b0:8c:2e",,,
"97","1775746483.867986000","08:00:27:b0:8c:2e","08:00:27:d1:c5:85",,,
"98","1775746484.047326000","08:00:27:b0:8c:2e","08:00:27:d1:c5:85",,,
"99","1775746484.047358000","08:00:27:d1:c5:85","08:00:27:b0:8c:2e",,,
"100","1775746484.833028000","08:00:27:d1:c5:85","08:00:27:b0:8c:2e",,,
"101","1775746484.834383000","08:00:27:b0:8c:2e","08:00:27:d1:c5:85",,,
"102","1775746485.050217000","08:00:27:b0:8c:2e","08:00:27:d1:c5:85",,,
"103","1775746485.050256000","08:00:27:d1:c5:85","08:00:27:b0:8c:2e",,,
"104","1775746485.837672000","08:00:27:d1:c5:85","08:00:27:b0:8c:2e",,,
"105","1775746485.838504000","08:00:27:b0:8c:2e","08:00:27:d1:c5:85",,,
"106","1775746486.052133000","08:00:27:b0:8c:2e","08:00:27:d1:c5:85",,,
"107","1775746486.052166000","08:00:27:d1:c5:85","08:00:27:b0:8c:2e",,,
"108","1775746486.847345000","08:00:27:d1:c5:85","08:00:27:b0:8c:2e",,,
"109","1775746486.849224000","08:00:27:b0:8c:2e","08:00:27:d1:c5:85",,,
"110","1775746487.053299000","08:00:27:b0:8c:2e","08:00:27:d1:c5:85",,,
"111","1775746487.053322000","08:00:27:d1:c5:85","08:00:27:b0:8c:2e",,,
"112","1775746487.758161000","08:00:27:d1:c5:85","08:00:27:b0:8c:2e",,,
"113","1775746487.760451000","08:00:27:b0:8c:2e","08:00:27:d1:c5:85",,,
"114","1775746488.055157000","08:00:27:b0:8c:2e","08:00:27:d1:c5:85",,,
"115","1775746488.055172000","08:00:27:d1:c5:85","08:00:27:b0:8c:2e",,,
"116","1775746488.772934000","08:00:27:d1:c5:85","08:00:27:b0:8c:2e",,,
"117","1775746488.775169000","08:00:27:b0:8c:2e","08:00:27:d1:c5:85",,,
"118","1775746489.057115000","08:00:27:b0:8c:2e","08:00:27:d1:c5:85",,,
"119","1775746489.057146000","08:00:27:d1:c5:85","08:00:27:b0:8c:2e",,,
"120","1775746489.781567000","08:00:27:d1:c5:85","08:00:27:b0:8c:2e",,,
"121","1775746489.784333000","08:00:27:b0:8c:2e","08:00:27:d1:c5:85",,,
"122","1775746490.059075000","08:00:27:b0:8c:2e","08:00:27:d1:c5:85",,,
"123","1775746490.059106000","08:00:27:d1:c5:85","08:00:27:b0:8c:2e",,,
"124","1775746490.795501000","08:00:27:d1:c5:85","08:00:27:b0:8c:2e",,,
"125","1775746490.797223000","08:00:27:b0:8c:2e","08:00:27:d1:c5:85",,,
"126","1775746490.798152000","08:00:27:b0:8c:2e","08:00:27:d1:c5:85",,,
"127","1775746490.798174000","08:00:27:d1:c5:85","08:00:27:b0:8c:2e",,,
"128","1775746491.063430000","08:00:27:b0:8c:2e","08:00:27:d1:c5:85",,,
"129","1775746491.063477000","08:00:27:d1:c5:85","08:00:27:b0:8c:2e",,,
"130","1775746491.255851000","08:00:27:b0:8c:2e","08:00:27:d1:c5:85",,,
"131","1775746491.255871000","08:00:27:d1:c5:85","08:00:27:b0:8c:2e",,,
"132","1775746491.256375000","08:00:27:d1:c5:85","08:00:27:b0:8c:2e",,,
"133","1775746491.256815000","08:00:27:d1:c5:85","08:00:27:b0:8c:2e",,,
"134","1775746491.257078000","08:00:27:d1:c5:85","08:00:27:b0:8c:2e",,,
"135","1775746491.257340000","08:00:27:d1:c5:85","08:00:27:b0:8c:2e",,,
"136","1775746491.257725000","08:00:27:d1:c5:85","08:00:27:b0:8c:2e",,,
"137","1775746491.257978000","08:00:27:d1:c5:85","08:00:27:b0:8c:2e",,,
"138","1775746491.259579000","08:00:27:b0:8c:2e","08:00:27:d1:c5:85",,,
"139","1775746491.865052000","08:00:27:d1:c5:85","08:00:27:b0:8c:2e",,,
"140","1775746491.914056000","08:00:27:b0:8c:2e","08:00:27:d1:c5:85",,,
"141","1775746492.068925000","08:00:27:b0:8c:2e","08:00:27:d1:c5:85",,,
"142","1775746492.068967000","08:00:27:d1:c5:85","08:00:27:b0:8c:2e",,,
"143","1775746492.775925000","08:00:27:d1:c5:85","08:00:27:b0:8c:2e",,,
"144","1775746492.777996000","08:00:27:b0:8c:2e","08:00:27:d1:c5:85",,,
"145","1775746492.777997000","08:00:27:b0:8c:2e","08:00:27:d1:c5:85",,,
"146","1775746492.819867000","08:00:27:d1:c5:85","08:00:27:b0:8c:2e",,,
"147","1775746493.069261000","08:00:27:b0:8c:2e","08:00:27:d1:c5:85",,,
"148","1775746493.069299000","08:00:27:d1:c5:85","08:00:27:b0:8c:2e",,,
"149","1775746493.785278000","08:00:27:d1:c5:85","08:00:27:b0:8c:2e",,,
"150","1775746493.831067000","08:00:27:b0:8c:2e","08:00:27:d1:c5:85",,,
"151","1775746494.071131000","08:00:27:b0:8c:2e","08:00:27:d1:c5:85",,,
"152","1775746494.071158000","08:00:27:d1:c5:85","08:00:27:b0:8c:2e",,,
"153","1775746494.794920000","08:00:27:d1:c5:85","08:00:27:b0:8c:2e",,,
"154","1775746494.795858000","08:00:27:b0:8c:2e","08:00:27:d1:c5:85",,,
"155","1775746495.072863000","08:00:27:b0:8c:2e","08:00:27:d1:c5:85",,,
"156","1775746495.072895000","08:00:27:d1:c5:85","08:00:27:b0:8c:2e",,,
"157","1775746495.803028000","08:00:27:d1:c5:85","08:00:27:b0:8c:2e",,,
"158","1775746495.804131000","08:00:27:b0:8c:2e","08:00:27:d1:c5:85",,,
