frame.time_epoch,eth.src,eth.dst,goose.gocbRef,goose.stNum,goose.sqNum,frame.len
"1772896228.536268000","08:00:27:b0:8c:2e","01:0c:cd:01:00:01","simpleIOGenericIO/LLN0$GO$gcbAnalogValues","1","0","202"
"1772896228.536268000","08:00:27:b0:8c:2e","01:0c:cd:01:00:01","simpleIOGenericIO/LLN0$GO$gcbAnalogValues","1","0","202"
"1772896228.536268000","08:00:27:b0:8c:2e","01:0c:cd:01:00:01","simpleIOGenericIO/LLN0$GO$gcbAnalogValues","1","0","202"
"1772896229.537998000","08:00:27:b0:8c:2e","01:0c:cd:01:00:01","simpleIOGenericIO/LLN0$GO$gcbAnalogValues","1","1","202"
"1772896229.537998000","08:00:27:b0:8c:2e","01:0c:cd:01:00:01","simpleIOGenericIO/LLN0$GO$gcbAnalogValues","1","1","202"
"1772896229.537998000","08:00:27:b0:8c:2e","01:0c:cd:01:00:01","simpleIOGenericIO/LLN0$GO$gcbAnalogValues","1","1","202"
"1772896230.539741000","08:00:27:b0:8c:2e","01:0c:cd:01:00:01","simpleIOGenericIO/LLN0$GO$gcbAnalogValues","1","2","202"
"1772896230.539741000","08:00:27:b0:8c:2e","01:0c:cd:01:00:01","simpleIOGenericIO/LLN0$GO$gcbAnalogValues","1","2","202"
"1772896230.539741000","08:00:27:b0:8c:2e","01:0c:cd:01:00:01","simpleIOGenericIO/LLN0$GO$gcbAnalogValues","1","2","202"
"1772896231.541833000","08:00:27:b0:8c:2e","01:0c:cd:01:00:01","simpleIOGenericIO/LLN0$GO$gcbAnalogValues","1","3","205"
"1772896231.541833000","08:00:27:b0:8c:2e","01:0c:cd:01:00:01","simpleIOGenericIO/LLN0$GO$gcbAnalogValues","1","3","205"
"1772896231.541833000","08:00:27:b0:8c:2e","01:0c:cd:01:00:01","simpleIOGenericIO/LLN0$GO$gcbAnalogValues","1","3","205"
