frame.time_epoch,ip.src,ip.dst,tcp.srcport,tcp.dstport,tcp.len
1771243227.091208629,192.168.100.10,192.168.100.20,2404,47010,18
1771243228.101626715,192.168.100.10,192.168.100.20,2404,47010,18
1771243229.112161816,192.168.100.10,192.168.100.20,2404,47010,18
1771243230.122188001,192.168.100.10,192.168.100.20,2404,47010,18
1771243230.122824980,192.168.100.20,192.168.100.10,47010,2404,6
1771243230.541033502,192.168.100.20,192.168.100.10,47010,2404,16
1771243230.545986803,192.168.100.10,192.168.100.20,2404,47010,16
1771243230.546582673,192.168.100.10,192.168.100.20,2404,47010,30
1771243230.547753423,192.168.100.10,192.168.100.20,2404,47010,20
1771243230.548292183,192.168.100.10,192.168.100.20,2404,47010,23
1771243230.548610551,192.168.100.10,192.168.100.20,2404,47010,20
1771243230.549366473,192.168.100.10,192.168.100.20,2404,47010,16
1771243231.054087492,192.168.100.10,192.168.100.20,2404,47010,18
1771243232.064121602,192.168.100.10,192.168.100.20,2404,47010,18
1771243232.064555858,192.168.100.20,192.168.100.10,47010,2404,6
1771243233.074923085,192.168.100.10,192.168.100.20,2404,47010,18
1771243234.083080841,192.168.100.10,192.168.100.20,2404,47010,18
1771243235.090581613,192.168.100.10,192.168.100.20,2404,47010,18
1771243236.101450742,192.168.100.10,192.168.100.20,2404,47010,18
1771243237.112643446,192.168.100.10,192.168.100.20,2404,47010,18
1771243238.119963657,192.168.100.10,192.168.100.20,2404,47010,18
1771243239.127921306,192.168.100.10,192.168.100.20,2404,47010,18
1771243240.136791689,192.168.100.10,192.168.100.20,2404,47010,18
1771243240.138235462,192.168.100.20,192.168.100.10,47010,2404,6
1771243240.640501194,192.168.100.20,192.168.100.10,47010,2404,16
1771243240.641409781,192.168.100.10,192.168.100.20,2404,47010,16
1771243240.641738876,192.168.100.10,192.168.100.20,2404,47010,30
1771243240.642388327,192.168.100.10,192.168.100.20,2404,47010,79
1771243241.147370559,192.168.100.10,192.168.100.20,2404,47010,18
1771243242.157043919,192.168.100.10,192.168.100.20,2404,47010,18
1771243242.159163064,192.168.100.20,192.168.100.10,47010,2404,6
1771243243.068780970,192.168.100.10,192.168.100.20,2404,47010,18
1771243244.079881236,192.168.100.10,192.168.100.20,2404,47010,18
1771243245.086649157,192.168.100.10,192.168.100.20,2404,47010,18
1771243246.093546450,192.168.100.10,192.168.100.20,2404,47010,18
1771243247.108151222,192.168.100.10,192.168.100.20,2404,47010,18
1771243248.120175212,192.168.100.10,192.168.100.20,2404,47010,18
1771243249.129104906,192.168.100.10,192.168.100.20,2404,47010,18
1771243250.137292532,192.168.100.10,192.168.100.20,2404,47010,18
1771243250.137803087,192.168.100.20,192.168.100.10,47010,2404,6
1771243250.732690565,192.168.100.20,192.168.100.10,47010,2404,16
1771243250.736021752,192.168.100.10,192.168.100.20,2404,47010,16
1771243250.736022223,192.168.100.10,192.168.100.20,2404,47010,30
1771243250.737413461,192.168.100.10,192.168.100.20,2404,47010,79
1771243251.140946372,192.168.100.10,192.168.100.20,2404,47010,18
1771243252.149302484,192.168.100.10,192.168.100.20,2404,47010,18
1771243252.150903482,192.168.100.20,192.168.100.10,47010,2404,6
1771243253.159115645,192.168.100.10,192.168.100.20,2404,47010,18
1771243254.167894693,192.168.100.10,192.168.100.20,2404,47010,18
1771243255.079675592,192.168.100.10,192.168.100.20,2404,47010,18
1771243256.088845359,192.168.100.10,192.168.100.20,2404,47010,18
1771243257.099062956,192.168.100.10,192.168.100.20,2404,47010,18
1771243258.109274066,192.168.100.10,192.168.100.20,2404,47010,18
1771243259.117475771,192.168.100.10,192.168.100.20,2404,47010,18
1771243260.125176506,192.168.100.10,192.168.100.20,2404,47010,18
1771243260.126989455,192.168.100.20,192.168.100.10,47010,2404,6
1771243260.736632030,192.168.100.20,192.168.100.10,47010,2404,16
1771243260.741514946,192.168.100.10,192.168.100.20,2404,47010,16
1771243260.742976302,192.168.100.10,192.168.100.20,2404,47010,30
1771243260.745285520,192.168.100.10,192.168.100.20,2404,47010,20
1771243260.747586384,192.168.100.10,192.168.100.20,2404,47010,23
1771243260.748720073,192.168.100.10,192.168.100.20,2404,47010,20
1771243260.751017717,192.168.100.10,192.168.100.20,2404,47010,16
1771243261.155552012,192.168.100.10,192.168.100.20,2404,47010,18
1771243262.162802447,192.168.100.10,192.168.100.20,2404,47010,18
1771243262.163472813,192.168.100.20,192.168.100.10,47010,2404,6
1771243263.175158010,192.168.100.10,192.168.100.20,2404,47010,18
1771243264.088426123,192.168.100.10,192.168.100.20,2404,47010,18
1771243265.099971666,192.168.100.10,192.168.100.20,2404,47010,18
1771243266.112451111,192.168.100.10,192.168.100.20,2404,47010,18
1771243267.125296615,192.168.100.10,192.168.100.20,2404,47010,18
1771243268.132418046,192.168.100.10,192.168.100.20,2404,47010,18
1771243269.144748512,192.168.100.10,192.168.100.20,2404,47010,18
1771243270.151990070,192.168.100.10,192.168.100.20,2404,47010,18
1771243270.152631149,192.168.100.20,192.168.100.10,47010,2404,6
1771243270.822153298,192.168.100.20,192.168.100.10,47010,2404,16
1771243270.824805089,192.168.100.10,192.168.100.20,2404,47010,16
1771243270.825673466,192.168.100.10,192.168.100.20,2404,47010,30
1771243270.827029990,192.168.100.10,192.168.100.20,2404,47010,20
