frame.time_epoch,ip.src,ip.dst,tcp.srcport,tcp.dstport,tcp.len
1771246551.797830114,192.168.100.10,192.168.100.20,2404,47010,18
1771246552.807351963,192.168.100.10,192.168.100.20,2404,47010,18
1771246553.817084493,192.168.100.10,192.168.100.20,2404,47010,18
1771246554.826865773,192.168.100.10,192.168.100.20,2404,47010,18
1771246555.836054682,192.168.100.10,192.168.100.20,2404,47010,18
1771246556.842662193,192.168.100.10,192.168.100.20,2404,47010,18
1771246557.849209888,192.168.100.10,192.168.100.20,2404,47010,18
1771246558.858694122,192.168.100.10,192.168.100.20,2404,47010,18
1771246558.861179233,192.168.100.20,192.168.100.10,47010,2404,6
1771246559.824498427,192.168.100.20,192.168.100.10,47010,2404,16
1771246559.827055707,192.168.100.10,192.168.100.20,2404,47010,16
1771246559.828428662,192.168.100.10,192.168.100.20,2404,47010,30
1771246559.831339288,192.168.100.10,192.168.100.20,2404,47010,97
1771246560.834734971,192.168.100.10,192.168.100.20,2404,47010,18
1771246560.835946746,192.168.100.20,192.168.100.10,47010,2404,6
1771246561.844346691,192.168.100.10,192.168.100.20,2404,47010,18
1771246562.853391732,192.168.100.10,192.168.100.20,2404,47010,18
1771246563.863134566,192.168.100.10,192.168.100.20,2404,47010,18
1771246564.869506776,192.168.100.10,192.168.100.20,2404,47010,18
1771246565.878917445,192.168.100.10,192.168.100.20,2404,47010,18
1771246566.887990817,192.168.100.10,192.168.100.20,2404,47010,18
1771246567.793578917,192.168.100.10,192.168.100.20,2404,47010,18
1771246568.803142404,192.168.100.10,192.168.100.20,2404,47010,18
1771246568.806118286,192.168.100.20,192.168.100.10,47010,2404,6
1771246569.824331304,192.168.100.10,192.168.100.20,2404,47010,18
1771246569.873907887,192.168.100.20,192.168.100.10,47010,2404,16
1771246569.879493741,192.168.100.10,192.168.100.20,2404,47010,16
1771246569.880556029,192.168.100.10,192.168.100.20,2404,47010,30
1771246569.885553778,192.168.100.10,192.168.100.20,2404,47010,20
1771246569.885554411,192.168.100.10,192.168.100.20,2404,47010,23
1771246569.889222200,192.168.100.10,192.168.100.20,2404,47010,20
1771246569.890998305,192.168.100.10,192.168.100.20,2404,47010,16
1771246570.800477239,192.168.100.10,192.168.100.20,2404,47010,18
1771246571.812291826,192.168.100.10,192.168.100.20,2404,47010,18
1771246571.812848342,192.168.100.20,192.168.100.10,47010,2404,6
1771246572.821326697,192.168.100.10,192.168.100.20,2404,47010,18
1771246573.829323279,192.168.100.10,192.168.100.20,2404,47010,18
1771246574.843272731,192.168.100.10,192.168.100.20,2404,47010,18
1771246575.852282492,192.168.100.10,192.168.100.20,2404,47010,18
1771246576.861718599,192.168.100.10,192.168.100.20,2404,47010,18
1771246577.868013116,192.168.100.10,192.168.100.20,2404,47010,18
1771246578.875242358,192.168.100.10,192.168.100.20,2404,47010,18
1771246579.888051476,192.168.100.10,192.168.100.20,2404,47010,18
1771246579.888942490,192.168.100.20,192.168.100.10,47010,2404,6
1771246579.908142836,192.168.100.20,192.168.100.10,47010,2404,16
1771246579.913367941,192.168.100.10,192.168.100.20,2404,47010,16
1771246579.913368071,192.168.100.10,192.168.100.20,2404,47010,30
1771246579.916159319,192.168.100.10,192.168.100.20,2404,47010,79
1771246580.821420748,192.168.100.10,192.168.100.20,2404,47010,18
1771246581.828401862,192.168.100.10,192.168.100.20,2404,47010,18
1771246581.829006095,192.168.100.20,192.168.100.10,47010,2404,6
1771246582.840057571,192.168.100.10,192.168.100.20,2404,47010,18
1771246583.850851592,192.168.100.10,192.168.100.20,2404,47010,18
1771246584.859715034,192.168.100.10,192.168.100.20,2404,47010,18
1771246585.863339741,192.168.100.10,192.168.100.20,2404,47010,18
1771246586.870806990,192.168.100.10,192.168.100.20,2404,47010,18
1771246587.877631131,192.168.100.10,192.168.100.20,2404,47010,18
1771246588.885806540,192.168.100.10,192.168.100.20,2404,47010,18
1771246589.895717136,192.168.100.10,192.168.100.20,2404,47010,18
1771246589.897471149,192.168.100.20,192.168.100.10,47010,2404,6
1771246589.993607121,192.168.100.20,192.168.100.10,47010,2404,16
1771246589.996822496,192.168.100.10,192.168.100.20,2404,47010,16
1771246589.997981243,192.168.100.10,192.168.100.20,2404,47010,30
1771246590.001310251,192.168.100.10,192.168.100.20,2404,47010,79
1771246590.903556353,192.168.100.10,192.168.100.20,2404,47010,18
1771246591.910644336,192.168.100.10,192.168.100.20,2404,47010,18
1771246591.912258233,192.168.100.20,192.168.100.10,47010,2404,6
1771246592.819679984,192.168.100.10,192.168.100.20,2404,47010,18
1771246593.829342914,192.168.100.10,192.168.100.20,2404,47010,18
1771246594.840003328,192.168.100.10,192.168.100.20,2404,47010,18
1771246595.856651465,192.168.100.10,192.168.100.20,2404,47010,18
1771246596.867405763,192.168.100.10,192.168.100.20,2404,47010,18
1771246597.877058421,192.168.100.10,192.168.100.20,2404,47010,18
