mode,run,tp,fp,tn,fn,precision,recall,f1
baseline,1,0,0,4,0,0.0,0.0,0.0
baseline,2,0,0,4,0,0.0,0.0,0.0
baseline,3,0,0,4,0,0.0,0.0,0.0
baseline,4,0,0,4,0,0.0,0.0,0.0
baseline,5,0,0,4,0,0.0,0.0,0.0
baseline,6,0,0,4,0,0.0,0.0,0.0
baseline,7,0,0,4,0,0.0,0.0,0.0
baseline,8,0,0,4,0,0.0,0.0,0.0
baseline,9,0,0,4,0,0.0,0.0,0.0
baseline,10,0,0,4,0,0.0,0.0,0.0
replay,1,8,0,0,4,1.0,0.6666666666666666,0.8
replay,2,8,0,0,4,1.0,0.6666666666666666,0.8
replay,3,8,0,0,4,1.0,0.6666666666666666,0.8
replay,4,8,0,0,4,1.0,0.6666666666666666,0.8
replay,5,8,0,0,4,1.0,0.6666666666666666,0.8
replay,6,8,0,0,4,1.0,0.6666666666666666,0.8
replay,7,8,0,0,4,1.0,0.6666666666666666,0.8
replay,8,8,0,0,4,1.0,0.6666666666666666,0.8
replay,9,8,0,0,4,1.0,0.6666666666666666,0.8
replay,10,8,0,0,4,1.0,0.6666666666666666,0.8
mixed,1,4,0,0,4,1.0,0.5,0.6666666666666666
mixed,2,4,0,0,4,1.0,0.5,0.6666666666666666
mixed,3,4,0,0,4,1.0,0.5,0.6666666666666666
mixed,4,4,0,0,4,1.0,0.5,0.6666666666666666
mixed,5,4,0,0,4,1.0,0.5,0.6666666666666666
mixed,6,4,0,0,4,1.0,0.5,0.6666666666666666
mixed,7,4,0,0,4,1.0,0.5,0.6666666666666666
mixed,8,4,0,0,4,1.0,0.5,0.6666666666666666
mixed,9,4,0,0,4,1.0,0.5,0.6666666666666666
mixed,10,4,0,0,4,1.0,0.5,0.6666666666666666
