frame.time_epoch,packet_id,delta_from_baseline_first
1771350701.420875,192.168.100.10_192.168.100.20_1_18,107474.32966637611
1771350701.420898,192.168.100.20_192.168.100.10_1_0,107474.32954072952
1771350702.428301,192.168.100.10_192.168.100.20_19_18,107474.32667422295
1771350702.428365,192.168.100.20_192.168.100.10_1_0,107475.337007761
1771350703.434129,192.168.100.10_192.168.100.20_37_18,107474.32196712494
1771350703.434196,192.168.100.20_192.168.100.10_1_0,107476.34283876419
1771350704.442735,192.168.100.10_192.168.100.20_55_18,107474.32054686546
1771350704.442804,192.168.100.20_192.168.100.10_1_0,107477.35144686699
1771350705.450271,192.168.100.20_192.168.100.10_1_0,107478.35891366005
1771350706.455679,192.168.100.20_192.168.100.10_1_0,107479.36432170868
1771350707.461974,192.168.100.20_192.168.100.10_1_0,107480.37061667442
1771350707.462171,192.168.100.20_192.168.100.10_1_6,107477.33934617043
1771350708.495989,192.168.100.20_192.168.100.10_7_16,107477.95495557785
1771350708.497955,192.168.100.20_192.168.100.10_23_0,107477.95126581192
1771350708.540256,192.168.100.20_192.168.100.10_23_0,107477.99356675148
1771350709.404733,192.168.100.10_192.168.100.20_270_18,107474.31415128708
1771350709.404803,192.168.100.20_192.168.100.10_23_0,107478.85811376572
1771350710.411659,192.168.100.10_192.168.100.20_288_18,107474.31020832062
1771350710.411725,192.168.100.20_192.168.100.10_23_0,107479.86503577232
1771350710.411962,192.168.100.20_192.168.100.10_23_6,107478.34740614891
1771350711.420661,192.168.100.10_192.168.100.20_306_18,107474.3080174923
1771350711.464485,192.168.100.20_192.168.100.10_29_0,107478.34466290474
1771350712.425125,192.168.100.10_192.168.100.20_324_18,107474.30516123772
1771350712.425147,192.168.100.20_192.168.100.10_29_0,107479.30532503128
1771350713.43148,192.168.100.10_192.168.100.20_342_18,107474.30355882645
1771350713.431497,192.168.100.20_192.168.100.10_29_0,107480.31167507172
1771350714.437284,192.168.100.10_192.168.100.20_360_18,107474.30049228668
1771350714.437318,192.168.100.20_192.168.100.10_29_0,107481.31749606133
1771350715.444347,192.168.100.20_192.168.100.10_29_0,107482.32452487946
1771350716.449614,192.168.100.20_192.168.100.10_29_0,107483.3297920227
1771350717.453995,192.168.100.20_192.168.100.10_29_0,107484.3341729641
1771350718.46073,192.168.100.20_192.168.100.10_29_0,107485.34090805054
1771350718.461186,192.168.100.20_192.168.100.10_29_6,107478.32295060158
1771350718.830859,192.168.100.20_192.168.100.10_35_16,107478.19035768509
1771350718.832908,192.168.100.20_192.168.100.10_51_0,107478.19096279144
1771350719.435997,192.168.100.10_192.168.100.20_575_18,107474.34934782982
1771350719.649516,192.168.100.20_192.168.100.10_51_0,107479.00757098198
1771350719.64967,192.168.100.10_192.168.100.20_575_18,107474.56302070618
1771350719.649679,192.168.100.20_192.168.100.10_51_0,107479.00773382187
1771350720.441233,192.168.100.10_192.168.100.20_593_18,107474.34768652916
1771350720.441296,192.168.100.20_192.168.100.10_51_0,107479.79935097694
1771350720.441438,192.168.100.20_192.168.100.10_51_6,107478.28227496147
1771350721.450274,192.168.100.10_192.168.100.20_611_18,107474.3421227932
1771350721.497489,192.168.100.20_192.168.100.10_57_0,107478.38665628433
1771350722.456581,192.168.100.10_192.168.100.20_629_18,107474.33640599251
1771350722.456599,192.168.100.20_192.168.100.10_57_0,107479.34576630592
1771350723.461559,192.168.100.10_192.168.100.20_647_18,107474.33245420456
1771350723.461577,192.168.100.20_192.168.100.10_57_0,107480.35074424744
1771350724.46679,192.168.100.10_192.168.100.20_665_18,107474.32949757576
1771350724.46681,192.168.100.20_192.168.100.10_57_0,107481.35597729683
1771350725.470694,192.168.100.20_192.168.100.10_57_0,107482.3598613739
1771350726.475228,192.168.100.20_192.168.100.10_57_0,107483.36439538002
1771350727.479637,192.168.100.20_192.168.100.10_57_0,107484.36880421638
1771350728.484073,192.168.100.20_192.168.100.10_57_0,107485.37324023247
1771350728.484602,192.168.100.20_192.168.100.10_57_6,107478.34679889679
1771350728.831816,192.168.100.20_192.168.100.10_63_16,107478.0991256237
1771350728.834846,192.168.100.20_192.168.100.10_79_0,107478.09771609306
1771350728.837729,192.168.100.20_192.168.100.10_79_0,107478.10059905052
1771350729.439551,192.168.100.10_192.168.100.20_880_18,107474.3598754406
1771350729.498251,192.168.100.20_192.168.100.10_79_0,107478.76112103462
1771350730.443666,192.168.100.10_192.168.100.20_898_18,107474.3548207283
1771350730.443683,192.168.100.20_192.168.100.10_79_0,107479.70655298233
1771350730.445733,192.168.100.20_192.168.100.10_79_6,107478.29482960701
1771350731.452797,192.168.100.10_192.168.100.20_916_18,107474.35373425484
1771350731.497139,192.168.100.20_192.168.100.10_85_0,107478.29415369034
1771350732.456168,192.168.100.10_192.168.100.20_934_18,107474.3468940258
1771350732.456185,192.168.100.20_192.168.100.10_85_0,107479.25319981575
1771350733.460738,192.168.100.10_192.168.100.20_952_18,107474.343262434
1771350733.460762,192.168.100.20_192.168.100.10_85_0,107480.25777673721
1771350734.466106,192.168.100.10_192.168.100.20_970_18,107474.34092950821
1771350734.466124,192.168.100.20_192.168.100.10_85_0,107481.26313877106
1771350735.46991,192.168.100.20_192.168.100.10_85_0,107482.26692461967
1771350736.473475,192.168.100.20_192.168.100.10_85_0,107483.27048969269
1771350737.477435,192.168.100.20_192.168.100.10_85_0,107484.27444982529
1771350738.481026,192.168.100.20_192.168.100.10_85_0,107485.2780406475
1771350738.48471,192.168.100.20_192.168.100.10_85_6,107478.35772061348
1771350739.167558,192.168.100.20_192.168.100.10_91_16,107478.4309258461
1771350739.170106,192.168.100.20_192.168.100.10_107_0,107478.42670559883
1771350739.383326,192.168.100.20_192.168.100.10_107_0,107478.63992571831
1771350739.472522,192.168.100.10_192.168.100.20_1185_18,107474.37255048752
1771350739.472588,192.168.100.20_192.168.100.10_107_0,107478.72918772697
1771350740.478765,192.168.100.10_192.168.100.20_1203_18,107474.36631369591
1771350740.478793,192.168.100.20_192.168.100.10_107_0,107479.7353925705
1771350740.4799,192.168.100.20_192.168.100.10_107_6,107478.31642699242
1771350740.480613,192.168.100.20_192.168.100.10_107_6,107478.31714010239
1771350741.485339,192.168.100.10_192.168.100.20_1221_18,107474.3600423336
1771350741.529183,192.168.100.20_192.168.100.10_113_0,107478.31021142006
1771350742.490434,192.168.100.10_192.168.100.20_1239_18,107474.3580160141
1771350742.490454,192.168.100.20_192.168.100.10_113_0,107479.27148246765
1771350743.495596,192.168.100.10_192.168.100.20_1257_18,107474.35084748268
1771350743.495617,192.168.100.20_192.168.100.10_113_0,107480.27664542198
1771350744.402871,192.168.100.10_192.168.100.20_1275_18,107474.25088095665
