window_start_epoch,window_end_epoch,suspicious_count,unique_suspicious_patterns
1771350701.420875,1771350711.420875,21,12
1771350702.420875,1771350712.420875,20,12
1771350703.420875,1771350713.420875,20,12
1771350704.420875,1771350714.420875,20,12
1771350705.420875,1771350715.420875,20,12
1771350706.420875,1771350716.420875,20,12
1771350707.420875,1771350717.420875,20,12
1771350708.420875,1771350718.420875,19,10
1771350709.420875,1771350719.420875,18,11
1771350710.420875,1771350720.420875,19,9
1771350711.420875,1771350721.420875,21,10
1771350712.420875,1771350722.420875,22,12
1771350713.420875,1771350723.420875,22,12
1771350714.420875,1771350724.420875,22,12
1771350715.420875,1771350725.420875,22,12
1771350716.420875,1771350726.420875,22,12
1771350717.420875,1771350727.420875,22,12
1771350718.420875,1771350728.420875,22,12
1771350719.420875,1771350729.420875,23,12
1771350720.420875,1771350730.420875,21,12
1771350721.420875,1771350731.420875,21,11
1771350722.420875,1771350732.420875,21,12
1771350723.420875,1771350733.420875,21,12
1771350724.420875,1771350734.420875,21,12
1771350725.420875,1771350735.420875,21,12
1771350726.420875,1771350736.420875,21,12
1771350727.420875,1771350737.420875,21,12
1771350728.420875,1771350738.420875,21,12
1771350729.420875,1771350739.420875,21,12
1771350730.420875,1771350740.420875,21,12
1771350731.420875,1771350741.420875,22,11
1771350732.420875,1771350742.420875,22,12
1771350733.420875,1771350743.420875,22,12
1771350734.420875,1771350744.420875,24,13
1771350735.420875,1771350745.420875,23,12
1771350736.420875,1771350746.420875,23,12
1771350737.420875,1771350747.420875,22,12
1771350738.420875,1771350748.420875,22,12
1771350739.420875,1771350749.420875,19,10
1771350740.420875,1771350750.420875,19,11
1771350741.420875,1771350751.420875,17,9
1771350742.420875,1771350752.420875,18,10
1771350743.420875,1771350753.420875,18,11
1771350744.420875,1771350754.420875,16,10
1771350745.420875,1771350755.420875,17,11
1771350746.420875,1771350756.420875,17,11
1771350747.420875,1771350757.420875,18,11
1771350748.420875,1771350758.420875,18,11
1771350749.420875,1771350759.420875,19,10
1771350750.420875,1771350760.420875,23,12
1771350751.420875,1771350761.420875,24,13
1771350752.420875,1771350762.420875,22,10
1771350753.420875,1771350763.420875,22,11
1771350754.420875,1771350764.420875,22,11
1771350755.420875,1771350765.420875,22,11
1771350756.420875,1771350766.420875,22,11
1771350757.420875,1771350767.420875,22,11
1771350758.420875,1771350768.420875,22,11
1771350759.420875,1771350769.420875,20,9
1771350760.420875,1771350770.420875,18,10
1771350761.420875,1771350771.420875,17,9
1771350762.420875,1771350772.420875,19,10
1771350763.420875,1771350773.420875,19,11
1771350764.420875,1771350774.420875,21,12
1771350765.420875,1771350775.420875,20,11
1771350766.420875,1771350776.420875,19,11
1771350767.420875,1771350777.420875,19,11
1771350768.420875,1771350778.420875,19,11
1771350769.420875,1771350779.420875,18,11
1771350770.420875,1771350780.420875,14,8
1771350771.420875,1771350781.420875,12,7
1771350772.420875,1771350782.420875,9,4
1771350773.420875,1771350783.420875,7,3
1771350774.420875,1771350784.420875,3,1
1771350775.420875,1771350785.420875,2,1
1771350776.420875,1771350786.420875,2,1
1771350777.420875,1771350787.420875,1,1
