window_start_epoch,window_end_epoch,suspicious_count,unique_suspicious_patterns
1771809409.69118,1771809419.69118,24,14
1771809410.69118,1771809420.69118,24,14
1771809411.69118,1771809421.69118,24,14
1771809412.69118,1771809422.69118,23,13
1771809413.69118,1771809423.69118,23,13
1771809414.69118,1771809424.69118,23,14
1771809415.69118,1771809425.69118,23,14
1771809416.69118,1771809426.69118,23,14
1771809417.69118,1771809427.69118,23,14
1771809418.69118,1771809428.69118,23,14
1771809419.69118,1771809429.69118,23,14
1771809420.69118,1771809430.69118,23,14
1771809421.69118,1771809431.69118,23,14
1771809422.69118,1771809432.69118,22,13
1771809423.69118,1771809433.69118,22,13
1771809424.69118,1771809434.69118,22,14
1771809425.69118,1771809435.69118,22,14
1771809426.69118,1771809436.69118,20,13
1771809427.69118,1771809437.69118,20,13
1771809428.69118,1771809438.69118,22,14
1771809429.69118,1771809439.69118,22,14
1771809430.69118,1771809440.69118,22,14
1771809431.69118,1771809441.69118,18,11
1771809432.69118,1771809442.69118,19,12
1771809433.69118,1771809443.69118,19,12
1771809434.69118,1771809444.69118,18,13
1771809435.69118,1771809445.69118,20,14
1771809436.69118,1771809446.69118,22,15
1771809437.69118,1771809447.69118,22,15
1771809438.69118,1771809448.69118,20,14
1771809439.69118,1771809449.69118,20,14
1771809440.69118,1771809450.69118,20,14
1771809441.69118,1771809451.69118,20,13
1771809442.69118,1771809452.69118,24,14
1771809443.69118,1771809453.69118,23,13
1771809444.69118,1771809454.69118,24,14
1771809445.69118,1771809455.69118,22,14
1771809446.69118,1771809456.69118,22,14
1771809447.69118,1771809457.69118,22,14
1771809448.69118,1771809458.69118,24,15
1771809449.69118,1771809459.69118,24,15
1771809450.69118,1771809460.69118,24,15
1771809451.69118,1771809461.69118,23,13
1771809452.69118,1771809462.69118,24,15
1771809453.69118,1771809463.69118,25,15
1771809454.69118,1771809464.69118,25,14
1771809455.69118,1771809465.69118,25,15
1771809456.69118,1771809466.69118,25,15
1771809457.69118,1771809467.69118,25,15
1771809458.69118,1771809468.69118,25,15
1771809459.69118,1771809469.69118,25,15
1771809460.69118,1771809470.69118,25,15
1771809461.69118,1771809471.69118,25,15
1771809462.69118,1771809472.69118,24,15
1771809463.69118,1771809473.69118,24,15
1771809464.69118,1771809474.69118,24,14
1771809465.69118,1771809475.69118,24,15
1771809466.69118,1771809476.69118,24,15
1771809467.69118,1771809477.69118,24,15
1771809468.69118,1771809478.69118,24,15
1771809469.69118,1771809479.69118,24,15
1771809470.69118,1771809480.69118,24,15
1771809471.69118,1771809481.69118,24,15
1771809472.69118,1771809482.69118,23,15
1771809473.69118,1771809483.69118,23,15
1771809474.69118,1771809484.69118,23,14
1771809475.69118,1771809485.69118,23,15
1771809476.69118,1771809486.69118,23,15
1771809477.69118,1771809487.69118,23,15
1771809478.69118,1771809488.69118,23,15
1771809479.69118,1771809489.69118,23,15
1771809480.69118,1771809490.69118,23,15
1771809481.69118,1771809491.69118,23,15
1771809482.69118,1771809492.69118,25,15
1771809483.69118,1771809493.69118,25,15
