window_start_epoch,window_end_epoch,suspicious_count,unique_suspicious_patterns
1771809625.869845,1771809635.869845,22,13
1771809626.869845,1771809636.869845,22,13
1771809627.869845,1771809637.869845,20,12
1771809628.869845,1771809638.869845,20,12
1771809629.869845,1771809639.869845,19,12
1771809630.869845,1771809640.869845,19,12
1771809631.869845,1771809641.869845,18,10
1771809632.869845,1771809642.869845,17,10
1771809633.869845,1771809643.869845,19,10
1771809634.869845,1771809644.869845,21,11
1771809635.869845,1771809645.869845,20,12
1771809636.869845,1771809646.869845,22,13
1771809637.869845,1771809647.869845,24,14
1771809638.869845,1771809648.869845,24,14
1771809639.869845,1771809649.869845,23,13
1771809640.869845,1771809650.869845,23,13
1771809641.869845,1771809651.869845,22,13
1771809642.869845,1771809652.869845,22,12
1771809643.869845,1771809653.869845,24,12
1771809644.869845,1771809654.869845,23,10
1771809645.869845,1771809655.869845,24,11
1771809646.869845,1771809656.869845,22,11
1771809647.869845,1771809657.869845,22,11
1771809648.869845,1771809658.869845,22,11
1771809649.869845,1771809659.869845,24,12
1771809650.869845,1771809660.869845,24,12
1771809651.869845,1771809661.869845,25,12
1771809652.869845,1771809662.869845,25,11
1771809653.869845,1771809663.869845,20,12
1771809654.869845,1771809664.869845,20,12
1771809655.869845,1771809665.869845,20,11
1771809656.869845,1771809666.869845,20,12
1771809657.869845,1771809667.869845,22,13
1771809658.869845,1771809668.869845,22,13
1771809659.869845,1771809669.869845,20,12
1771809660.869845,1771809670.869845,19,12
1771809661.869845,1771809671.869845,19,12
1771809662.869845,1771809672.869845,18,10
1771809663.869845,1771809673.869845,21,12
1771809664.869845,1771809674.869845,21,12
1771809665.869845,1771809675.869845,21,11
1771809666.869845,1771809676.869845,21,12
1771809667.869845,1771809677.869845,19,11
1771809668.869845,1771809678.869845,19,11
1771809669.869845,1771809679.869845,20,12
1771809670.869845,1771809680.869845,21,12
1771809671.869845,1771809681.869845,21,12
1771809672.869845,1771809682.869845,21,12
1771809673.869845,1771809683.869845,21,12
1771809674.869845,1771809684.869845,21,12
1771809675.869845,1771809685.869845,21,11
1771809676.869845,1771809686.869845,21,12
1771809677.869845,1771809687.869845,21,12
1771809678.869845,1771809688.869845,21,12
1771809679.869845,1771809689.869845,21,12
1771809680.869845,1771809690.869845,21,12
1771809681.869845,1771809691.869845,21,12
1771809682.869845,1771809692.869845,21,12
1771809683.869845,1771809693.869845,21,12
1771809684.869845,1771809694.869845,21,12
1771809685.869845,1771809695.869845,21,11
1771809686.869845,1771809696.869845,21,12
1771809687.869845,1771809697.869845,21,12
1771809688.869845,1771809698.869845,21,12
1771809689.869845,1771809699.869845,21,12
1771809690.869845,1771809700.869845,21,12
1771809691.869845,1771809701.869845,21,12
1771809692.869845,1771809702.869845,21,12
1771809693.869845,1771809703.869845,21,12
1771809694.869845,1771809704.869845,21,12
1771809695.869845,1771809705.869845,21,11
1771809696.869845,1771809706.869845,21,12
1771809697.869845,1771809707.869845,21,12
1771809698.869845,1771809708.869845,21,12
1771809699.869845,1771809709.869845,21,12
1771809700.869845,1771809710.869845,21,12
1771809701.869845,1771809711.869845,21,12
1771809702.869845,1771809712.869845,21,12
1771809703.869845,1771809713.869845,22,12
1771809704.869845,1771809714.869845,22,12
1771809705.869845,1771809715.869845,22,11
1771809706.869845,1771809716.869845,22,12
1771809707.869845,1771809717.869845,22,12
1771809708.869845,1771809718.869845,22,12
1771809709.869845,1771809719.869845,22,12
1771809710.869845,1771809720.869845,22,12
1771809711.869845,1771809721.869845,22,12
1771809712.869845,1771809722.869845,22,12
1771809713.869845,1771809723.869845,20,12
1771809714.869845,1771809724.869845,20,12
1771809715.869845,1771809725.869845,20,11
1771809716.869845,1771809726.869845,20,12
1771809717.869845,1771809727.869845,20,12
1771809718.869845,1771809728.869845,20,12
1771809719.869845,1771809729.869845,20,12
1771809720.869845,1771809730.869845,20,12
1771809721.869845,1771809731.869845,20,12
1771809722.869845,1771809732.869845,20,12
1771809723.869845,1771809733.869845,21,12
1771809724.869845,1771809734.869845,21,12
1771809725.869845,1771809735.869845,21,11
1771809726.869845,1771809736.869845,21,12
1771809727.869845,1771809737.869845,21,12
1771809728.869845,1771809738.869845,21,12
1771809729.869845,1771809739.869845,21,12
1771809730.869845,1771809740.869845,22,13
1771809731.869845,1771809741.869845,22,13
1771809732.869845,1771809742.869845,22,13
1771809733.869845,1771809743.869845,23,13
1771809734.869845,1771809744.869845,23,13
1771809735.869845,1771809745.869845,23,12
1771809736.869845,1771809746.869845,23,13
1771809737.869845,1771809747.869845,23,13
1771809738.869845,1771809748.869845,23,13
1771809739.869845,1771809749.869845,23,13
1771809740.869845,1771809750.869845,23,13
1771809741.869845,1771809751.869845,23,13
1771809742.869845,1771809752.869845,23,13
1771809743.869845,1771809753.869845,22,13
1771809744.869845,1771809754.869845,22,13
1771809745.869845,1771809755.869845,22,12
1771809746.869845,1771809756.869845,22,13
1771809747.869845,1771809757.869845,22,13
1771809748.869845,1771809758.869845,22,13
1771809749.869845,1771809759.869845,22,13
1771809750.869845,1771809760.869845,22,13
1771809751.869845,1771809761.869845,22,13
1771809752.869845,1771809762.869845,22,13
1771809753.869845,1771809763.869845,23,13
1771809754.869845,1771809764.869845,23,13
1771809755.869845,1771809765.869845,23,12
1771809756.869845,1771809766.869845,23,13
1771809757.869845,1771809767.869845,23,13
1771809758.869845,1771809768.869845,23,13
1771809759.869845,1771809769.869845,23,13
1771809760.869845,1771809770.869845,23,13
1771809761.869845,1771809771.869845,23,13
1771809762.869845,1771809772.869845,23,13
1771809763.869845,1771809773.869845,22,13
1771809764.869845,1771809774.869845,22,13
1771809765.869845,1771809775.869845,22,12
1771809766.869845,1771809776.869845,22,13
1771809767.869845,1771809777.869845,22,13
1771809768.869845,1771809778.869845,22,13
1771809769.869845,1771809779.869845,22,13
1771809770.869845,1771809780.869845,22,13
1771809771.869845,1771809781.869845,22,13
1771809772.869845,1771809782.869845,22,13
1771809773.869845,1771809783.869845,22,13
1771809774.869845,1771809784.869845,22,13
1771809775.869845,1771809785.869845,22,12
1771809776.869845,1771809786.869845,22,13
1771809777.869845,1771809787.869845,22,13
1771809778.869845,1771809788.869845,22,13
1771809779.869845,1771809789.869845,22,13
1771809780.869845,1771809790.869845,22,13
1771809781.869845,1771809791.869845,22,13
1771809782.869845,1771809792.869845,22,13
1771809783.869845,1771809793.869845,23,13
1771809784.869845,1771809794.869845,23,13
1771809785.869845,1771809795.869845,23,12
1771809786.869845,1771809796.869845,23,13
1771809787.869845,1771809797.869845,23,13
1771809788.869845,1771809798.869845,23,13
1771809789.869845,1771809799.869845,23,13
1771809790.869845,1771809800.869845,23,13
1771809791.869845,1771809801.869845,23,13
1771809792.869845,1771809802.869845,23,13
1771809793.869845,1771809803.869845,19,11
1771809794.869845,1771809804.869845,22,13
1771809795.869845,1771809805.869845,22,12
1771809796.869845,1771809806.869845,22,13
1771809797.869845,1771809807.869845,22,13
1771809798.869845,1771809808.869845,22,13
1771809799.869845,1771809809.869845,22,13
1771809800.869845,1771809810.869845,22,13
1771809801.869845,1771809811.869845,22,13
1771809802.869845,1771809812.869845,22,13
1771809803.869845,1771809813.869845,22,12
1771809804.869845,1771809814.869845,23,13
1771809805.869845,1771809815.869845,23,12
1771809806.869845,1771809816.869845,23,13
