window_start_epoch,window_end_epoch,suspicious_count,unique_suspicious_patterns
1774867528.966356,1774867538.966356,26,9
1774867529.966356,1774867539.966356,24,8
1774867530.966356,1774867540.966356,21,7
1774867531.966356,1774867541.966356,16,6
1774867532.966356,1774867542.966356,16,6
1774867533.966356,1774867543.966356,16,5
1774867534.966356,1774867544.966356,10,6
1774867535.966356,1774867545.966356,9,4
1774867536.966356,1774867546.966356,10,4
1774867537.966356,1774867547.966356,11,4
1774867538.966356,1774867548.966356,12,4
1774867539.966356,1774867549.966356,13,4
1774867540.966356,1774867550.966356,14,4
1774867541.966356,1774867551.966356,16,6
1774867542.966356,1774867552.966356,16,6
1774867543.966356,1774867553.966356,16,5
1774867544.966356,1774867554.966356,16,6
1774867545.966356,1774867555.966356,16,6
1774867546.966356,1774867556.966356,16,6
1774867547.966356,1774867557.966356,16,6
1774867548.966356,1774867558.966356,16,6
1774867549.966356,1774867559.966356,16,6
1774867550.966356,1774867560.966356,16,6
1774867551.966356,1774867561.966356,10,3
1774867552.966356,1774867562.966356,9,3
1774867553.966356,1774867563.966356,7,1
1774867554.966356,1774867564.966356,6,1
1774867555.966356,1774867565.966356,5,1
1774867556.966356,1774867566.966356,4,1
1774867557.966356,1774867567.966356,3,1
1774867558.966356,1774867568.966356,2,1
1774867559.966356,1774867569.966356,1,1
