frame.time_epoch,ip.src,ip.dst,tcp.seq,tcp.len
1771809409.691180000,192.168.100.10,192.168.100.20,1,18
1771809409.691213000,192.168.100.20,192.168.100.10,1,0
1771809410.699448000,192.168.100.10,192.168.100.20,19,18
1771809410.699514000,192.168.100.20,192.168.100.10,1,0
1771809410.699680000,192.168.100.20,192.168.100.10,1,6
1771809410.700435000,192.168.100.10,192.168.100.20,37,0
1771809411.446131000,192.168.100.20,192.168.100.10,7,16
1771809411.446973000,192.168.100.10,192.168.100.20,37,0
1771809411.447554000,192.168.100.10,192.168.100.20,37,16
1771809411.448187000,192.168.100.10,192.168.100.20,53,30
1771809411.448312000,192.168.100.20,192.168.100.10,23,0
1771809411.449078000,192.168.100.10,192.168.100.20,83,20
1771809411.449423000,192.168.100.10,192.168.100.20,103,23
1771809411.449593000,192.168.100.20,192.168.100.10,23,0
1771809411.449761000,192.168.100.10,192.168.100.20,126,20
1771809411.449761000,192.168.100.10,192.168.100.20,146,16
1771809411.449898000,192.168.100.20,192.168.100.10,23,0
1771809411.651066000,192.168.100.10,192.168.100.20,162,18
1771809411.697112000,192.168.100.20,192.168.100.10,23,0
1771809412.657379000,192.168.100.10,192.168.100.20,180,18
1771809412.657401000,192.168.100.20,192.168.100.10,23,0
1771809412.657486000,192.168.100.20,192.168.100.10,23,6
1771809412.699554000,192.168.100.10,192.168.100.20,198,0
1771809413.663038000,192.168.100.10,192.168.100.20,198,18
1771809413.707238000,192.168.100.20,192.168.100.10,29,0
1771809414.669957000,192.168.100.10,192.168.100.20,216,18
1771809414.669977000,192.168.100.20,192.168.100.10,29,0
1771809415.677535000,192.168.100.10,192.168.100.20,234,18
1771809415.677563000,192.168.100.20,192.168.100.10,29,0
1771809416.682809000,192.168.100.10,192.168.100.20,252,18
1771809416.682833000,192.168.100.20,192.168.100.10,29,0
1771809417.688883000,192.168.100.10,192.168.100.20,270,18
1771809417.688908000,192.168.100.20,192.168.100.10,29,0
1771809418.693956000,192.168.100.10,192.168.100.20,288,18
1771809418.694004000,192.168.100.20,192.168.100.10,29,0
1771809419.703597000,192.168.100.10,192.168.100.20,306,18
1771809419.703634000,192.168.100.20,192.168.100.10,29,0
1771809420.711043000,192.168.100.10,192.168.100.20,324,18
1771809420.711062000,192.168.100.20,192.168.100.10,29,0
1771809420.711525000,192.168.100.20,192.168.100.10,29,6
1771809420.712369000,192.168.100.10,192.168.100.20,342,0
1771809421.536740000,192.168.100.20,192.168.100.10,35,16
1771809421.537790000,192.168.100.10,192.168.100.20,342,0
1771809421.538757000,192.168.100.10,192.168.100.20,342,16
1771809421.538757000,192.168.100.10,192.168.100.20,358,30
1771809421.538871000,192.168.100.20,192.168.100.10,51,0
1771809421.539098000,192.168.100.10,192.168.100.20,388,79
1771809421.582504000,192.168.100.20,192.168.100.10,51,0
1771809421.639120000,192.168.100.10,192.168.100.20,467,18
1771809421.639142000,192.168.100.20,192.168.100.10,51,0
1771809422.646975000,192.168.100.10,192.168.100.20,485,18
1771809422.647004000,192.168.100.20,192.168.100.10,51,0
1771809422.647446000,192.168.100.20,192.168.100.10,51,6
1771809422.689355000,192.168.100.10,192.168.100.20,503,0
1771809423.656673000,192.168.100.10,192.168.100.20,503,18
1771809423.700571000,192.168.100.20,192.168.100.10,57,0
1771809424.663815000,192.168.100.10,192.168.100.20,521,18
1771809424.663841000,192.168.100.20,192.168.100.10,57,0
1771809425.672103000,192.168.100.10,192.168.100.20,539,18
1771809425.672146000,192.168.100.20,192.168.100.10,57,0
1771809426.681116000,192.168.100.10,192.168.100.20,557,18
1771809426.681141000,192.168.100.20,192.168.100.10,57,0
1771809427.688592000,192.168.100.10,192.168.100.20,575,18
1771809427.688614000,192.168.100.20,192.168.100.10,57,0
1771809428.694771000,192.168.100.10,192.168.100.20,593,18
1771809428.694797000,192.168.100.20,192.168.100.10,57,0
1771809429.700379000,192.168.100.10,192.168.100.20,611,18
1771809429.700430000,192.168.100.20,192.168.100.10,57,0
1771809430.706629000,192.168.100.10,192.168.100.20,629,18
1771809430.706655000,192.168.100.20,192.168.100.10,57,0
1771809430.707067000,192.168.100.20,192.168.100.10,57,6
1771809430.707600000,192.168.100.10,192.168.100.20,647,0
1771809431.634795000,192.168.100.20,192.168.100.10,63,16
1771809431.637427000,192.168.100.10,192.168.100.20,647,0
1771809431.639787000,192.168.100.10,192.168.100.20,647,16
1771809431.641059000,192.168.100.10,192.168.100.20,663,30
1771809431.641615000,192.168.100.20,192.168.100.10,79,0
1771809431.641789000,192.168.100.10,192.168.100.20,693,20
1771809431.644072000,192.168.100.10,192.168.100.20,713,23
1771809431.644256000,192.168.100.20,192.168.100.10,79,0
1771809431.644731000,192.168.100.10,192.168.100.20,736,20
1771809431.646514000,192.168.100.10,192.168.100.20,756,16
1771809431.646514000,192.168.100.10,192.168.100.20,772,18
1771809431.647342000,192.168.100.20,192.168.100.10,79,0
1771809432.655104000,192.168.100.10,192.168.100.20,790,18
1771809432.655516000,192.168.100.20,192.168.100.10,79,6
1771809432.697479000,192.168.100.10,192.168.100.20,808,0
1771809433.664919000,192.168.100.10,192.168.100.20,808,18
1771809433.710771000,192.168.100.20,192.168.100.10,85,0
1771809434.670916000,192.168.100.10,192.168.100.20,826,18
1771809434.671140000,192.168.100.20,192.168.100.10,85,0
1771809435.682544000,192.168.100.10,192.168.100.20,844,18
1771809435.682697000,192.168.100.20,192.168.100.10,85,0
1771809436.691456000,192.168.100.10,192.168.100.20,862,18
1771809436.691476000,192.168.100.20,192.168.100.10,85,0
1771809437.698654000,192.168.100.10,192.168.100.20,880,18
1771809437.698712000,192.168.100.20,192.168.100.10,85,0
1771809438.713543000,192.168.100.10,192.168.100.20,898,18
1771809438.713604000,192.168.100.20,192.168.100.10,85,0
1771809439.719752000,192.168.100.10,192.168.100.20,916,18
1771809439.719783000,192.168.100.20,192.168.100.10,85,0
1771809440.726871000,192.168.100.10,192.168.100.20,934,18
1771809440.726937000,192.168.100.20,192.168.100.10,85,0
1771809440.727147000,192.168.100.20,192.168.100.10,85,6
