time_epoch,tcp.stream,ip.src,ip.dst,ns_prev,ns_curr,delta_ns,nr_curr,anomaly_type
1771818087.088613,0,192.168.100.10,192.168.100.20,11519,195,-11324,7,backward_ns
1771818088.421932,0,192.168.100.10,192.168.100.20,11520,200,-11320,7,backward_ns
1771818089.755302,0,192.168.100.10,192.168.100.20,11521,201,-11320,7,backward_ns
1771818090.421928,0,192.168.100.10,192.168.100.20,11522,202,-11320,7,backward_ns
1771818091.088596,0,192.168.100.10,192.168.100.20,11523,203,-11320,7,backward_ns
1771818092.42193,0,192.168.100.10,192.168.100.20,11530,205,-11325,7,backward_ns
1771818093.088591,0,192.168.100.10,192.168.100.20,11531,206,-11325,7,backward_ns
1771818093.755287,0,192.168.100.10,192.168.100.20,11532,207,-11325,7,backward_ns
1771818095.755264,0,192.168.100.20,192.168.100.10,8884,7,-8877,209,backward_ns
1771818096.421927,0,192.168.100.10,192.168.100.20,11534,209,-11325,8,backward_ns
1771818097.421983,0,192.168.100.10,192.168.100.20,11535,211,-11324,8,backward_ns
1771818098.088644,0,192.168.100.10,192.168.100.20,11536,215,-11321,8,backward_ns
1771818100.088657,0,192.168.100.10,192.168.100.20,11538,217,-11321,8,backward_ns
1771818101.42193,0,192.168.100.10,192.168.100.20,11539,219,-11320,8,backward_ns
1771818102.088593,0,192.168.100.10,192.168.100.20,11545,220,-11325,8,backward_ns
1771818103.421976,0,192.168.100.10,192.168.100.20,11547,222,-11325,8,backward_ns
1771818104.088607,0,192.168.100.10,192.168.100.20,11548,223,-11325,8,backward_ns
1771818106.088588,0,192.168.100.20,192.168.100.10,8885,8,-8877,225,backward_ns
1771818106.755253,0,192.168.100.10,192.168.100.20,11550,225,-11325,9,backward_ns
1771818107.08862,0,192.168.100.10,192.168.100.20,11551,226,-11325,9,backward_ns
1771818108.088592,0,192.168.100.10,192.168.100.20,11552,228,-11324,9,backward_ns
1771818109.088616,0,192.168.100.10,192.168.100.20,11553,230,-11323,9,backward_ns
1771818109.755297,0,192.168.100.10,192.168.100.20,11554,231,-11323,9,backward_ns
1771818111.75531,0,192.168.100.10,192.168.100.20,11556,233,-11323,9,backward_ns
1771818112.422103,0,192.168.100.10,192.168.100.20,11559,234,-11325,9,backward_ns
1771818113.088651,0,192.168.100.10,192.168.100.20,11563,235,-11328,9,backward_ns
1771818113.755309,0,192.168.100.10,192.168.100.20,11564,236,-11328,9,backward_ns
1771818115.088641,0,192.168.100.10,192.168.100.20,11565,238,-11327,9,backward_ns
1771818116.421987,0,192.168.100.10,192.168.100.20,11566,240,-11326,9,backward_ns
1771818117.755361,0,192.168.100.20,192.168.100.10,8886,9,-8877,241,backward_ns
1771818118.421978,0,192.168.100.10,192.168.100.20,11568,241,-11327,10,backward_ns
1771818119.421929,0,192.168.100.10,192.168.100.20,11569,243,-11326,10,backward_ns
1771818120.421994,0,192.168.100.10,192.168.100.20,11570,245,-11325,10,backward_ns
1771818121.421926,0,192.168.100.10,192.168.100.20,11571,247,-11324,10,backward_ns
1771818122.088593,0,192.168.100.10,192.168.100.20,11578,248,-11330,10,backward_ns
1771818123.421918,0,192.168.100.10,192.168.100.20,11579,249,-11330,10,backward_ns
1771818124.08861,0,192.168.100.10,192.168.100.20,11580,250,-11330,10,backward_ns
1771818124.755259,0,192.168.100.10,192.168.100.20,11581,251,-11330,10,backward_ns
1771818126.088594,0,192.168.100.10,192.168.100.20,11582,253,-11329,10,backward_ns
1771818126.755266,0,192.168.100.10,192.168.100.20,11583,254,-11329,10,backward_ns
1771818128.088584,0,192.168.100.10,192.168.100.20,11584,256,-11328,10,backward_ns
1771818129.421925,0,192.168.100.20,192.168.100.10,8887,10,-8877,257,backward_ns
1771818130.088578,0,192.168.100.10,192.168.100.20,11586,257,-11329,11,backward_ns
1771818131.088653,0,192.168.100.10,192.168.100.20,11587,259,-11328,11,backward_ns
1771818132.421981,0,192.168.100.10,192.168.100.20,11591,264,-11327,11,backward_ns
1771818133.755308,0,192.168.100.10,192.168.100.20,11595,265,-11330,11,backward_ns
1771818134.421988,0,192.168.100.10,192.168.100.20,11596,266,-11330,11,backward_ns
1771818135.088649,0,192.168.100.10,192.168.100.20,11597,267,-11330,11,backward_ns
1771818136.421929,0,192.168.100.10,192.168.100.20,11598,269,-11329,11,backward_ns
