tcp.stream,window_id,score,reasons,packets,stale_count,backward_count,jump_count,repeat_fp_count,alarm,window_start_epoch,window_end_epoch
0,177181799,0,,1,0,0,0,0,False,1771817990,1771818000
0,177181800,5,"backward_ns,jump_ns",14,0,1,1,0,True,1771818000,1771818010
0,177181801,5,"backward_ns,jump_ns",14,0,1,1,0,True,1771818010,1771818020
0,177181802,7,"backward_ns,jump_ns,stale_fp",17,3,1,1,0,True,1771818020,1771818030
0,177181803,7,"backward_ns,jump_ns,stale_fp",14,3,1,1,0,True,1771818030,1771818040
0,177181804,7,"backward_ns,jump_ns,stale_fp",14,3,1,1,0,True,1771818040,1771818050
0,177181805,7,"backward_ns,jump_ns,stale_fp",14,3,1,1,0,True,1771818050,1771818060
0,177181806,7,"backward_ns,jump_ns,stale_fp",14,3,1,1,0,True,1771818060,1771818070
0,177181807,7,"backward_ns,jump_ns,stale_fp",14,3,1,1,0,True,1771818070,1771818080
0,177181808,7,"backward_ns,jump_ns,stale_fp",18,3,4,4,0,True,1771818080,1771818090
0,177181809,8,"backward_ns,jump_ns,stale_fp,high_rep_density",30,10,9,10,3,True,1771818090,1771818100
0,177181810,8,"backward_ns,jump_ns,stale_fp,high_rep_density",32,12,11,11,5,True,1771818100,1771818110
0,177181811,8,"backward_ns,jump_ns,stale_fp,high_rep_density",28,8,9,11,3,True,1771818110,1771818120
0,177181812,8,"backward_ns,jump_ns,stale_fp,high_rep_density",30,10,11,11,3,True,1771818120,1771818130
0,177181813,7,"backward_ns,jump_ns,stale_fp",24,5,8,8,2,True,1771818130,1771818140
0,177181814,7,"backward_ns,jump_ns,stale_fp",17,7,1,1,0,True,1771818140,1771818150
0,177181815,7,"backward_ns,jump_ns,stale_fp",9,3,1,1,0,True,1771818150,1771818160
